segment,time,throttle,vane,rpm,roll,pitch,yaw,accelx,accely,accelz,gx,gy,gz,magx,magy,magz,encoderGamma,encoderBeta,
0,172.671997,0.000000,0.000000,nan,-0.092061,1.192476,9.464677,-0.208176,-0.025125,10.103096,0.024332,0.011012,-0.037592,-106.397087,-20.273052,-69.081863,0.000000,0.000000,
0,172.733002,0.000000,0.000000,nan,-0.098337,1.148643,9.497069,-0.179462,-0.050249,10.015758,0.012726,-0.002580,-0.014379,-106.397087,-20.273052,-69.081863,0.000000,0.000000,
0,172.794006,0.000000,0.000000,nan,-0.130882,1.150865,9.500833,-0.160917,-0.034696,10.010373,-0.010487,0.007194,0.018607,-106.397087,-20.273052,-69.081863,0.000000,0.000000,
0,172.854996,0.000000,0.000000,nan,-0.092162,1.150798,9.352262,-0.175274,-0.016750,9.999606,-0.004684,0.007194,-0.029804,-106.786385,-20.525135,-68.286163,0.000000,0.000000,
0,172.916000,0.000000,0.000000,nan,-0.109756,1.165528,9.285542,-0.205185,-0.014955,10.036695,-0.016290,0.007194,0.043805,-106.786385,-20.525135,-68.286163,0.000000,0.000000,
0,172.977005,0.000000,0.000000,nan,-0.145022,1.123490,9.355619,-0.171087,-0.009571,10.048061,0.003105,0.012997,-0.012394,-106.786385,-20.525135,-68.286163,0.000000,0.000000,
0,173.037994,0.000000,0.000000,nan,-0.097904,1.081598,9.276024,-0.183649,-0.000598,10.018748,-0.008502,0.003224,-0.012394,-106.929306,-20.810535,-68.371658,0.000000,0.000000,
0,173.098999,0.000000,0.000000,nan,-0.138428,1.101261,9.269792,-0.166301,-0.011964,10.027123,-0.010487,0.018801,0.012804,-106.929306,-20.810535,-68.371658,0.000000,0.000000,
0,173.160004,0.000000,0.000000,nan,-0.108947,1.092437,9.267912,-0.198006,0.017946,10.012767,-0.004684,0.011012,0.007001,-106.929306,-20.810535,-68.371658,0.000000,0.000000,
0,173.220993,0.000000,0.000000,nan,-0.038585,1.120921,9.281022,-0.145962,0.004786,10.045668,-0.000866,-0.008383,-0.002773,-107.398407,-20.602293,-69.091942,0.000000,0.000000,
0,173.281998,0.000000,0.000000,nan,-0.017488,1.113000,9.291271,-0.163310,-0.049651,10.014561,0.006923,0.001238,0.022425,-107.398407,-20.602293,-69.091942,0.000000,0.000000,
0,173.343002,0.000000,0.000000,nan,-0.031494,1.138050,9.404399,-0.174078,-0.010169,10.033704,-0.006669,0.012997,-0.043396,-107.398407,-20.602293,-69.091942,0.000000,0.000000,
0,173.404007,0.000000,0.000000,nan,0.006016,1.164760,9.379851,-0.170489,0.019143,10.030713,0.016544,-0.006398,0.001198,-107.398407,-20.602293,-69.091942,0.000000,0.000000,
0,173.464996,0.000000,0.000000,nan,-0.014566,1.136208,9.417756,-0.190828,-0.031107,10.019944,-0.008502,-0.000594,-0.010409,-106.650482,-20.332674,-68.453201,0.000000,0.000000,
0,173.526001,0.000000,0.000000,nan,0.001414,1.148597,9.435781,-0.151944,-0.029910,10.027123,0.001120,0.005209,-0.039425,-106.650482,-20.332674,-68.453201,0.000000,0.000000,
0,173.587006,0.000000,0.000000,nan,0.009050,1.155289,9.510036,-0.239880,-0.026919,10.050453,0.006923,0.005209,-0.056987,-106.650482,-20.332674,-68.453201,0.000000,0.000000,
0,173.647995,0.000000,0.000000,nan,0.015763,1.116985,9.541092,-0.150150,0.024526,10.074981,0.010741,-0.002580,0.008833,-107.240143,-20.177479,-68.164726,0.000000,0.000000,
0,173.709000,0.000000,0.000000,nan,-0.004920,1.129074,9.440492,-0.213559,0.019143,10.009775,0.016697,-0.016171,0.020440,-107.240143,-20.177479,-68.164726,0.000000,0.000000,
0,173.770004,0.000000,0.000000,nan,0.007967,1.139868,9.459407,-0.204586,-0.004187,10.044471,-0.012320,-0.000594,0.018607,-107.240143,-20.177479,-68.164726,0.000000,0.000000,
0,173.830994,0.000000,0.000000,nan,0.025070,1.182032,9.512083,-0.128016,-0.021535,10.040284,0.020514,0.001391,0.022425,-106.607521,-20.284012,-68.663185,0.000000,0.000000,
0,173.891998,0.000000,0.000000,nan,0.053061,1.168633,9.502444,-0.154337,-0.011366,10.086945,0.008908,-0.004565,-0.016212,-106.607521,-20.284012,-68.663185,0.000000,0.000000,
0,173.953003,0.000000,0.000000,nan,0.064673,1.192532,9.455816,-0.177667,0.010169,10.039685,-0.006516,0.009027,0.036017,-106.607521,-20.284012,-68.663185,0.000000,0.000000,
0,174.014008,0.000000,0.000000,nan,0.069719,1.177009,9.495704,-0.189033,-0.011366,10.025927,-0.006669,-0.006398,-0.008576,-106.761841,-19.967482,-68.454514,0.000000,0.000000,
0,174.074997,0.000000,0.000000,nan,0.088997,1.115283,9.471978,-0.178265,0.005982,10.022936,0.003105,-0.010368,0.010819,-106.761841,-19.967482,-68.454514,0.000000,0.000000,
0,174.136002,0.000000,0.000000,nan,0.106019,1.086347,9.434392,-0.131605,-0.001795,10.053444,-0.004684,0.007194,0.012804,-106.761841,-19.967482,-68.454514,0.000000,0.000000,
0,174.197006,0.000000,0.000000,nan,0.104367,1.080142,9.408152,-0.180060,-0.000598,10.004392,0.001120,-0.000594,0.012804,-106.507126,-20.000803,-68.536057,0.000000,0.000000,
0,174.257996,0.000000,0.000000,nan,0.047414,1.087304,9.445439,-0.194417,-0.045464,10.082158,0.001120,0.014830,0.012804,-106.507126,-20.000803,-68.536057,0.000000,0.000000,
0,174.319000,0.000000,0.000000,nan,0.028204,1.095685,9.460691,-0.178863,-0.038285,10.014561,0.006923,0.011012,-0.010562,-106.507126,-20.000803,-68.536057,0.000000,0.000000,
0,174.380005,0.000000,0.000000,nan,0.005666,1.175761,9.424258,-0.163908,0.011366,10.036695,0.006923,0.007194,0.010819,-106.507126,-20.000803,-68.536057,0.000000,0.000000,
0,174.440994,0.000000,0.000000,nan,-0.035564,1.194914,9.396310,-0.180658,-0.006580,10.053444,-0.000713,-0.010368,0.001198,-106.774994,-20.246309,-68.454514,0.000000,0.000000,
0,174.501999,0.000000,0.000000,nan,-0.057667,1.216440,9.361825,-0.190828,-0.013759,10.109077,0.004937,-0.021975,0.005016,-106.774994,-20.246309,-68.454514,0.000000,0.000000,
0,174.563004,0.000000,0.000000,nan,-0.058996,1.231493,9.366479,-0.160319,0.027517,10.041480,-0.014305,-0.000594,0.049456,-106.774994,-20.246309,-68.454514,0.000000,0.000000,
0,174.623993,0.000000,0.000000,nan,-0.080523,1.242490,9.370044,-0.202194,-0.023330,10.000204,0.010741,-0.010368,0.012804,-107.039787,-20.398872,-68.499229,0.000000,0.000000,
0,174.684998,0.000000,0.000000,nan,-0.079143,1.232071,9.315071,-0.212363,-0.015553,10.027721,-0.006669,0.011012,0.034032,-107.039787,-20.398872,-68.499229,0.000000,0.000000,
0,174.746002,0.000000,0.000000,nan,-0.093656,1.226755,9.390660,-0.189631,-0.017946,10.018748,0.001120,-0.006398,-0.024001,-107.039787,-20.398872,-68.499229,0.000000,0.000000,
0,174.807007,0.000000,0.000000,nan,-0.107591,1.217612,9.259404,-0.165105,-0.027517,10.056436,-0.008502,-0.002580,0.047623,-107.074425,-20.261654,-68.331314,0.000000,0.000000,
0,174.867996,0.000000,0.000000,nan,-0.130809,1.211748,9.284664,-0.180060,-0.035892,10.045668,-0.002698,-0.000594,-0.024001,-107.074425,-20.261654,-68.331314,0.000000,0.000000,
0,174.929001,0.000000,0.000000,nan,-0.094969,1.216511,9.235240,-0.128016,0.011366,10.071390,0.006923,-0.016171,-0.018197,-107.074425,-20.261654,-68.331314,0.000000,0.000000,
0,174.990005,0.000000,0.000000,nan,-0.120804,1.175247,9.131028,-0.149551,-0.037089,9.998409,0.006923,0.018801,0.039835,-107.103798,-19.938547,-68.500107,0.000000,0.000000,
0,175.050995,0.000000,0.000000,nan,-0.091152,1.167509,9.123858,-0.158524,-0.002991,10.095918,-0.004684,0.012997,-0.002773,-107.103798,-19.938547,-68.500107,0.000000,0.000000,
0,175.112000,0.000000,0.000000,nan,-0.027909,1.166326,9.052630,-0.215952,0.005384,10.003196,0.001120,0.007194,0.001198,-107.103798,-19.938547,-68.500107,0.000000,0.000000,
0,175.173004,0.000000,0.000000,nan,0.011444,1.201431,9.070158,-0.171087,0.039482,9.956535,-0.004684,-0.010215,0.008833,-107.103798,-19.938547,-68.500107,0.000000,0.000000,
0,175.233994,0.000000,0.000000,nan,0.019427,1.173321,9.103606,-0.184846,-0.046062,10.041480,-0.000866,-0.000594,-0.000788,-107.369911,-20.184055,-68.250214,0.000000,0.000000,
0,175.294998,0.000000,0.000000,nan,0.027424,1.175616,9.095456,-0.190828,-0.058026,10.027721,-0.000866,0.011012,0.016622,-107.369911,-20.184055,-68.250214,0.000000,0.000000,
0,175.356003,0.000000,0.000000,nan,0.018839,1.227558,9.069217,-0.168694,0.019143,10.030713,-0.000713,-0.004565,0.016622,-107.369911,-20.184055,-68.250214,0.000000,0.000000,
0,175.417007,0.000000,0.000000,nan,-0.011403,1.237763,9.000618,-0.170489,-0.027517,10.097114,-0.008502,-0.002580,-0.000788,-107.354126,-19.812290,-68.418556,0.000000,0.000000,
0,175.477997,0.000000,0.000000,nan,0.006965,1.213760,8.975887,-0.161516,0.000598,10.051650,0.014711,-0.004565,-0.010409,-107.354126,-19.812290,-68.418556,0.000000,0.000000,
